Cause	Outcome	Cause name	Outcome name	Number of mentions	Phi correlation coeff	Dependence	Date of diagnosis	GPT4	score
E46	J98.4	malnutrition	lung disease	1	0.017	1	0.5666666666666667	1	0.520987341772152
E46	N62	malnutrition	gynecomastia	2	0.005	1	0.5714285714285714	0	0.5188461538461538
E46	N18.9	malnutrition	chronic renal disease	1	0.012	1	0.5535714285714286	1	0.5162
E46	E51.2	malnutrition	wernicke 's encephalopathy	2	0.042	1	0.5	0	0.5129918735891648
E46	R41.3	malnutrition	amnesia	1	0.011	1	0.5	1	0.5057777777777778
E46	E50	malnutrition	vitamin a deficiency	2	0.0	0	1.0	0	0.4
E46	D61.81	malnutrition	pancytopenia	2	NA	0	0	1	0.4
E46	G62.9	malnutrition	neuropathy	1	0.019	1	0.6923076923076923	0	0.3501761194029851
E46	I51.9	malnutrition	heart disease	1	0.001	0	0.5555555555555556	1	0.3218
E46	E51	malnutrition	thiamine deficiency	1	0.038	1	0.4	0	0.3002
E46	K05.10	malnutrition	gingivitis	1	NA	0	0	1	0.2
E46	E15	malnutrition	hypoglycemic coma	1	0.0	0	0	0	0.0
E46	H46.1	malnutrition	retrobulbar neuritis	1	NA	0	0	0	0.0
E46	M89.9	malnutrition	bone disease	1	-0.001	0	0	0	0.0
H44.2	H54	progressive high myopia	blindness	3	0.021	1	0.9047619047619048	1	0.785152380952381
H44.2	H33.2	progressive high myopia	retinal detachment	1	0.02	1	0.6842105263157895	1	0.542657142857143
H44.2	H33.10	progressive high myopia	retinoschisis	1	NA	0	0	1	0.2
M34	I73.0	systemic sclerosis-	raynaud 's syndrome	4	0.232	1	0.6923076923076923	1	0.7848615384615385
M34	I10	systemic sclerosis-	hypertension	2	0.013	1	0.5792349726775956	0	0.5216000000000001
M34	J84.9	systemic sclerosis-	interstitial lung disease	1	0.076	1	0.8372093023255814	0	0.39980000000000004
M34	K22.4	systemic sclerosis-	esophageal dysmotility	1	0.024	1	0.631578947368421	0	0.3353383449147189
M34	M81.0	systemic sclerosis-	osteoporosis	1	0.007	1	0	0	0.277
M34	I27.20	systemic sclerosis-	pulmonary hypertension	1	NA	0	0	1	0.2
M34	J67.9	systemic sclerosis-	alveolitis	1	0.0	0	0	0	0.0
E87.5	I46	hyperkalemia	cardiac arrest	21	0.039	1	0.8846153846153846	1	0.7847230769230771
E87.5	I44.3	hyperkalemia	atrioventricular block	2	0.011	1	0.6470588235294118	0	0.5339931034482759
E87.5	I45.2	hyperkalemia	bifascicular block	4	0.008	1	0.6470588235294118	0	0.5337333333333334
E87.5	I44.60	hyperkalemia	left bundle branch block	1	NA	0	0	0	0.10120000000000001
K76.7	N17.9	hepatorenal syndrome	acute kidney injury	2	0.059	1	0.863013698630137	1	0.7844027397260274
K76.7	N19	hepatorenal syndrome	renal failure	5	0.031	1	0.8571428571428571	1	0.7776285714285713
T78.2	I46	anaphylaxis	cardiac arrest	3	0.005	1	0.9166666666666666	1	0.7843333333333333
T78.2	I21	anaphylaxis	myocardial infarction	2	0.01	1	0.5142857142857142	0	0.5106114433489575
T78.2	F41.0	anaphylaxis	panic disorder	1	0.003	0	0.6666666666666666	1	0.3404623376623377
T78.2	J81	anaphylaxis	pulmonary edema	1	0.002	0	1.0	0	0.2016
T78.2	D65	anaphylaxis	disseminated intravascular coagulation	1	0.0	0	0	1	0.2
T78.2	I47.2	anaphylaxis	ventricular tachycardia	1	0.001	0	0.6666666666666666	0	0.1998
T78.2	K56.1	anaphylaxis	intussusception	1	0.004	0	0.0	0	0.13393333333333332
H18.6	H52.2	keratoconus	astigmatism	2	0.139	1	0.78125	1	0.7840499999999999
H18.6	H54	keratoconus	blindness	2	0.008	1	0.8571428571428571	1	0.7730285714285714
H18.6	H52.7	keratoconus	refractive errors	2	0.027	1	1.0	0	0.6064
H18.6	H50.1	keratoconus	exotropia	1	0.009	1	1.0	0	0.403
H18.6	H52.21	keratoconus	irregular astigmatism	5	NA	0	0	1	0.4
H18.6	H50.8	keratoconus	strabismus	3	0.0	0	0	0	0.2
H52.2	H53.00	astigmatism	amblyopia	1	NA	0	0	1	0.2
H52.2	H53.02	astigmatism	refractive amblyopia	1	NA	0	0	1	0.2
H40.1	H53.4	pigmentary glaucoma	visual field defects	3	0.036	1	0.8840579710144928	1	0.7840115942028987
H40.1	H54	pigmentary glaucoma	blindness	1	0.027	1	0.8048780487804879	1	0.5674363636363637
G71.0	I42	muscular dystrophy	cardiomyopathy	2	0.01	1	0.9090909090909091	1	0.7838181818181817
G71.0	I42.0	muscular dystrophy	dilated cardiomyopathy	1	0.007	1	0.8333333333333334	1	0.5697940298507462
G71.0	M41.9	muscular dystrophy	scoliosis	2	0.002	0	0.0	1	0.40080000000000005
G71.0	J96.0	muscular dystrophy	acute respiratory failure	1	0.005	0	0.5	1	0.3150434782608696
G71.0	T79.A0	muscular dystrophy	compartment syndrome	1	NA	0	0	1	0.2
N03	N18.9	chronic glomerulonephritis	chronic renal disease	5	0.174	1	0.7375745526838966	1	0.7823149105367793
N03	N08	chronic glomerulonephritis	kidney disease	3	0.1	1	0.6237623762376238	1	0.7447524752475247
N03	N19	chronic glomerulonephritis	renal failure	32	0.084	1	0.47368421052631576	1	0.7130000000000001
N03	N04	chronic glomerulonephritis	nephrotic syndrome	5	0.064	1	0.6458333333333334	0	0.5440164383561644
N03	N28.9	chronic glomerulonephritis	renal insufficiency	4	0.066	1	0.6301369863013698	0	0.5411304347826087
N03	N18.6	chronic glomerulonephritis	end-stage renal disease	14	NA	0	0	1	0.4
N03	E85.3	chronic glomerulonephritis	secondary amyloidosis	1	0.035	1	0.8333333333333334	0	0.38540869565217395
N03	E21.3	chronic glomerulonephritis	hyperparathyroidism	1	0.023	1	0.68	0	0.3472545454545455
E85	N04	amyloidosis	nephrotic syndrome	18	0.057	1	0.8518518518518519	1	0.7817703703703704
E85	R80	amyloidosis	proteinuria	3	0.032	1	0.7333333333333333	1	0.7530666666666666
E85	I42	amyloidosis	cardiomyopathy	4	0.014	1	0.6153846153846154	1	0.7265999999999999
E85	N19	amyloidosis	renal failure	25	0.018	1	0.6	1	0.7242319018404908
E85	I42.5	amyloidosis	restrictive cardiomyopathy	1	0.049	1	1.0	1	0.6178000000000001
E85	G62.9	amyloidosis	neuropathy	8	0.021	1	0.8636363636363636	0	0.5784383561643835
E85	N08	amyloidosis	kidney disease	4	0.066	1	0.7073170731707317	0	0.5564
E85	N28.9	amyloidosis	renal insufficiency	2	0.012	1	0.7142857142857143	0	0.5470610169491525
E85	I51.9	amyloidosis	heart disease	2	0.002	0	0.6666666666666666	1	0.5349333333333333
E85	I49.5	amyloidosis	sick sinus syndrome	1	0.009	1	0.5714285714285714	1	0.5202
E85	I42.0	amyloidosis	dilated cardiomyopathy	1	0.005	1	0.5714285714285714	1	0.5187290322580645
E85	G31.9	amyloidosis	degenerative disease	1	0.009	1	0.5555555555555556	1	0.515905119453925
E85	M35.0	amyloidosis	sicca syndrome	1	0.008	1	0.5	1	0.5032221797323135
E85	D73.0	amyloidosis	hyposplenism	1	0.006	1	0.3333333333333333	1	0.48100000000000004
E85	I10	amyloidosis	hypertension	1	0.016	1	0.3	1	0.4792608695652174
E85	K83.1	amyloidosis	cholestasis	4	0.004	0	1.0	0	0.40140000000000003
E85	N18.6	amyloidosis	end-stage renal disease	4	NA	0	0	1	0.4
E85	K76.9	amyloidosis	liver disease	2	0.004	0	0.8333333333333334	0	0.3771333333333333
E85	G56.0	amyloidosis	carpal tunnel syndrome	1	0.011	1	0.19148936170212766	0	0.28724848484848486
E85	H02.4	amyloidosis	ptosis	1	0.003	0	0.0	1	0.25
E85	Q38.2	amyloidosis	macroglossia	4	NA	0	0	0	0.2
E85	A69.22	amyloidosis	polyneuropathy	2	NA	0	0	0	0.2
E85	G83.0	amyloidosis	diplegia	1	0.0	0	0	1	0.2
E85	K31.84	amyloidosis	gastroparesis	1	NA	0	0	1	0.2
E85	Q31.3	amyloidosis	laryngocele	2	0.0	0	0	0	0.2
E85	E72.20	amyloidosis	hyperammonemia	2	NA	0	0	0	0.2
E85	N25.1	amyloidosis	nephrogenic diabetes insipidus	1	0.0	0	0	1	0.2
E85	I50.84	amyloidosis	end-stage heart failure	1	NA	0	0	1	0.2
E85	G40.909	amyloidosis	epilepsies	2	NA	0	0	0	0.2
E85	K81	amyloidosis	acute cholecystitis	1	0.0	0	0.25	0	0.15040000000000003
E85	D73.5	amyloidosis	splenic infarction	1	0.0	0	0	0	0.1
E85	E27.40	amyloidosis	hypoaldosteronism	1	NA	0	0	0	0.0
E85	D69.2	amyloidosis	purpura	1	0.0	0	0	0	0.0
E85	H35.9	amyloidosis	retinal diseases	1	0.0	0	0	0	0.0
E85	Q75.0	amyloidosis	craniosynostosis	1	0.0	0	0	0	0.0
E85	E28	amyloidosis	ovarian dysfunction	1	-0.001	0	0	0	0.0
N04	N19	nephrotic syndrome	renal failure	7	0.052	1	0.7346938775510204	1	0.7573387755102041
N04	R80	nephrotic syndrome	proteinuria	8	0.142	1	0.5882352941176471	1	0.7460470588235295
N04	N17.9	nephrotic syndrome	acute kidney injury	1	0.048	1	0.7344632768361582	1	0.5577039413382219
N04	N18.9	nephrotic syndrome	chronic renal disease	1	0.075	1	0.7	1	0.5565555555555556
N04	I67.4	nephrotic syndrome	hypertensive encephalopathy	2	0.0	0	1.0	0	0.4
N04	D80.1	nephrotic syndrome	hypogammaglobulinemia	1	0.0	0	1.0	0	0.2
H34.1	H54	central retinal artery occlusion	blindness	8	0.033	1	0.875	1	0.7816000000000001
H34.1	H40	central retinal artery occlusion	glaucoma	2	0.021	1	0.6956521739130435	0	0.5452571428571429
H34.1	H53.13	central retinal artery occlusion	sudden visual loss	1	NA	0	0	1	0.2
H34.1	H35.82	central retinal artery occlusion	retinal ischemia	1	NA	0	0	1	0.2
C85.9	N17.9	lymphoma	acute kidney injury	2	0.049	1	0.8588957055214724	1	0.7815791411042945
C85.9	K76.6	lymphoma	portal hypertension	1	0.004	1	0.9090909090909091	1	0.5833190839694657
C85.9	N17	lymphoma	acute kidney failure	1	0.049	1	0.8593272171253823	1	0.5823163179916319
C85.9	G62.9	lymphoma	neuropathy	4	0.024	1	0.7974683544303798	0	0.5652947368421053
C85.9	I87.1	lymphoma	vena cava syndrome	2	0.028	1	0.7647058823529411	0	0.5596947368421052
C85.9	N19	lymphoma	renal failure	1	0.015	1	0.6923076923076923	1	0.5436571428571428
C85.9	K22.9	lymphoma	esophageal disease	1	0.005	1	0.5833333333333334	1	0.5210022099447513
C85.9	K56.1	lymphoma	intussusception	10	0.001	0	1.0	0	0.4006
C85.9	D76.1	lymphoma	hemophagocytic syndrome	4	0.0	0	1.0	0	0.4
C85.9	G03	lymphoma	meningitis	2	-0.001	0	0.0	1	0.4
C85.9	D86	lymphoma	sarcoidosis	1	0.005	1	0.9333333333333333	0	0.39980000000000004
C85.9	G51.0	lymphoma	facial paralysis	4	0.003	0	0.9166666666666666	0	0.39980000000000004
C85.9	E05.9	lymphoma	hyperthyroidism	1	0.007	1	0.7142857142857143	0	0.3508
C85.9	G90.2	lymphoma	horner 's syndrome	1	0.002	0	1.0	0	0.20240000000000002
C85.9	N13.9	lymphoma	obstructive uropathy	1	0.001	0	0.5	0	0.1998
C85.9	C96.A	lymphoma	malignant histiocytosis	1	NA	0	0	0	0.0
C85.9	D59.12	lymphoma	cold agglutinin disease	1	NA	0	0	0	0.0
D65	D69.6	disseminated intravascular coagulation	thrombocytopenia	5	0.022	1	0.8823529411764706	1	0.7808705882352942
D65	N19	disseminated intravascular coagulation	renal failure	3	0.03	1	0.6363636363636364	1	0.7345272727272727
D65	J80	disseminated intravascular coagulation	adult respiratory distress syndrome	1	0.044	1	1.0	1	0.6106
D65	D69.2	disseminated intravascular coagulation	purpura	2	0.028	1	1.0	0	0.6068
D65	D69.9	disseminated intravascular coagulation	hemorrhagic diathesis	2	0.0	0	1.0	0	0.4
D65	I67.9	disseminated intravascular coagulation	cerebrovascular disorders	2	-0.001	0	1.0	0	0.4
D65	I63	disseminated intravascular coagulation	cerebral infarction	3	0.004	0	0.8888888888888888	0	0.39980000000000004
D65	D59.4	disseminated intravascular coagulation	microangiopathic hemolytic anemia	1	0.0	0	0	1	0.2
D65	G95.9	disseminated intravascular coagulation	myelopathy	1	0.0	0	0	0	0.0004
D65	G57.2	disseminated intravascular coagulation	femoral neuropathy	1	0.0	0	0	0	0.0
C91.4	D70	hairy-cell leukemia	neutropenia	2	0.043	1	0.8604651162790697	1	0.780693023255814
C91.4	C96.A	hairy-cell leukemia	malignant histiocytosis	1	NA	0	0	1	0.2
D70	D72.819	neutropenia	leukopenia	4	NA	0	0	0	0.2
H35.6	H54	retinal hemorrhage	blindness	4	0.019	1	0.8823529411764706	1	0.7802705882352943
J45	J96.0	asthma	acute respiratory failure	11	0.02	1	0.8768115942028986	1	0.7793623188405798
J45	I46	asthma	cardiac arrest	2	0.014	1	0.9082125603864735	0	0.5857974683544305
J45	J42	asthma	chronic bronchitis	2	0.033	1	0.7593360995850622	0	0.5593757575757576
J45	F41.9	asthma	anxiety disorder	1	0.058	1	0.8813353566009104	0	0.39980000000000004
J45	J98.4	asthma	lung disease	1	0.031	1	0.8948106591865358	0	0.39980000000000004
J45	D72.1	asthma	eosinophilia	1	0.014	1	0.8873239436619719	0	0.39980000000000004
J45	I70	asthma	atheroma	1	0.016	1	0.8159392789373814	0	0.3748
J45	R73.9	asthma	hyperglycemia	1	0.015	1	0.8048780487804879	0	0.37220000000000003
J45	G47	asthma	sleep disorders	1	0.052	1	0.7494745691467003	0	0.36779918200409
J45	S12.8	asthma	trachea	1	0.003	0	0.0	0	0.13373333333333334
J45	I51.81	asthma	transient left ventricular apical ballooning syndrome	1	NA	0	0	0	0.0
I33.0	I50.9	bacterial endocarditis	congestive heart failure	2	0.036	1	0.8589743589743589	1	0.7789948717948718
I33.0	I72	bacterial endocarditis	aneurysms	14	0.024	1	0.6666666666666666	1	0.7382736842105264
I33.0	Q23.3	bacterial endocarditis	mitral regurgitation	1	0.018	1	1.0	1	0.6040000000000001
I33.0	I67.9	bacterial endocarditis	cerebrovascular disorders	1	0.012	1	0.6	1	0.5266285714285714
I33.0	I06.1	bacterial endocarditis	aortic regurgitation	13	0.033	1	0.5	0	0.512
I33.0	I25.3	bacterial endocarditis	ventricular aneurysm	1	0.01	1	0.5	1	0.5052
I33.0	I21	bacterial endocarditis	myocardial infarction	1	0.013	1	0.4423076923076923	1	0.4998
I33.0	N08	bacterial endocarditis	kidney disease	1	0.008	1	0.4	1	0.49453626373626375
I33.0	I51.4	bacterial endocarditis	myocarditis	1	0.025	1	0.25	1	0.4738059171597634
I33.0	Q25.1	bacterial endocarditis	aortic stenosis	1	0.023	1	1.0	0	0.4585428571428572
I33.0	I05.0	bacterial endocarditis	mitral obstruction	1	0.022	1	0.42857142857142855	0	0.30060000000000003
I33.0	I27.82	bacterial endocarditis	chronic pulmonary embolism	1	NA	0	0	1	0.20040000000000002
I33.0	I07.0	bacterial endocarditis	tricuspid stenosis	1	0.0	0	0.0	0	0.0
H46	H54	optic neuritis	blindness	7	0.026	1	0.8666666666666667	1	0.7785333333333333
H46	H53.4	optic neuritis	visual field defects	2	0.003	0	0.6	1	0.5240769230769231
H46	H53.41	optic neuritis	central scotoma	1	NA	0	0	1	0.2
H25	H40	age-related cataract	glaucoma	2	0.154	1	0.7335439705107951	1	0.777508794102159
H25	H54	age-related cataract	blindness	4	0.028	1	0.7094017094017094	1	0.747480341880342
E21.3	N21	hyperparathyroidism	urolithiasis	2	0.011	1	0.5	1	0.703005546492659
E21.3	N23	hyperparathyroidism	urolithiasis	2	0.007	1	0.375	1	0.6812
E21.3	K85.9	hyperparathyroidism	pancreatitis	13	0.012	1	0.7333333333333333	0	0.5503154471544716
E21.3	K59.0	hyperparathyroidism	constipation	1	0.015	1	0.5793103448275863	1	0.522
E21.3	N25.0	hyperparathyroidism	renal osteodystrophy	1	0.049	1	0.4	1	0.4998
E21.3	E16.4	hyperparathyroidism	hypergastrinemia	1	0.0	0	1.0	1	0.4
E21.3	N22	hyperparathyroidism	urolithiasis	2	NA	0	0	1	0.4
E21.3	I42	hyperparathyroidism	cardiomyopathy	3	0.0	0	0.7272727272727273	0	0.3529241379310345
E21.3	M89.9	hyperparathyroidism	bone disease	3	-0.002	0	0.0	0	0.2
E21.3	H18.42	hyperparathyroidism	band keratopathy	1	NA	0	0	0	0.1004
E21.3	G93.41	hyperparathyroidism	metabolic encephalopathy	1	NA	0	0	0	0.0
B02	H02.1	herpes zoster	ectropion	2	0.007	1	0.875	1	0.7764
B02	G51.0	herpes zoster	facial paralysis	3	0.023	1	0.7222222222222222	1	0.7490444444444444
B02	H15.0	herpes zoster	scleritis	1	0.008	1	1.0	1	0.6018000000000001
B02	H16.2	herpes zoster	keratoconjunctivitis	1	0.006	1	1.0	1	0.6014
B02	H16	herpes zoster	keratitis	1	0.014	1	0.9166666666666666	1	0.5885142857142858
B02	M54.1	herpes zoster	radiculopathy	1	0.004	1	0.75	1	0.5514000000000001
B02	G62.9	herpes zoster	neuropathy	1	0.023	1	0.6111111111111112	1	0.53
B02	B01.0	herpes zoster	varicella meningitis	1	0.016	1	1.0	0	0.4234222222222222
B02	H46	herpes zoster	optic neuritis	1	0.009	1	0.0	1	0.4032
B02	M87.9	herpes zoster	aseptic necrosis	1	0.005	1	1.0	0	0.40140000000000003
B02	G83.4	herpes zoster	cauda equina syndrome	1	0.004	0	0.6	1	0.33111578947368425
B02	H47.2	herpes zoster	optic atrophy	1	-0.001	0	0.5	1	0.30200000000000005
B02	H47.01	herpes zoster	ischemic optic neuropathy	1	NA	0	0	1	0.2
B02	H04.0	herpes zoster	dacryoadenitis	1	0.0	0	0	1	0.2
B02	H20.01	herpes zoster	iridocyclitis	1	NA	0	0	1	0.2
B02	H57.04	herpes zoster	mydriasis	1	NA	0	0	1	0.2
B02	H16.4	herpes zoster	corneal neovascularization	1	0.0	0	0	1	0.2
B02	G90.2	herpes zoster	horner 's syndrome	2	-0.001	0	0	0	0.2
B02	G54.0	herpes zoster	thoracic outlet syndrome	1	-0.001	0	0	1	0.2
B02	L12	herpes zoster	pemphigoid	1	-0.001	0	1.0	0	0.2
B02	G72.9	herpes zoster	myopathy	1	0.003	0	0.75	0	0.1998
B02	G03.0	herpes zoster	acute aseptic meningitis	1	0.0	0	0	0	0.044644444444444445
B02	E27.40	herpes zoster	hypoaldosteronism	1	NA	0	0	0	0.0
B02	H34.81	herpes zoster	central retinal vein occlusion	1	NA	0	0	0	0.0
B02	A69.22	herpes zoster	polyneuropathy	1	NA	0	0	0	0.0
H02.1	H04.2	ectropion	epiphora	2	0.143	1	0.8238095238095238	0	0.59668026868178
H02.1	H16.0	ectropion	corneal ulcers	1	0.018	1	0.8181818181818182	1	0.5678666666666667
M32.9	N08	systemic lupus erythematosus	kidney disease	13	0.058	1	0.8235294117647058	1	0.7763058823529412
M32.9	D69.6	systemic lupus erythematosus	thrombocytopenia	3	0.014	1	0.8235294117647058	1	0.7675058823529413
M32.9	N19	systemic lupus erythematosus	renal failure	8	0.011	1	0.7894736842105263	1	0.7600947368421054
M32.9	D64.9	systemic lupus erythematosus	anemia	3	0.022	1	0.75	1	0.7544
M32.9	I31.3	systemic lupus erythematosus	pericardial effusion	3	0.019	1	0.6666666666666666	1	0.7375333333333334
M32.9	I10	systemic lupus erythematosus	hypertension	5	0.015	1	0.5898876404494382	1	0.7216
M32.9	N04	systemic lupus erythematosus	nephrotic syndrome	3	0.017	1	0.5	1	0.7060987012987014
M32.9	M87.9	systemic lupus erythematosus	aseptic necrosis	1	0.007	1	1.0	1	0.6014
M32.9	K85.9	systemic lupus erythematosus	pancreatitis	3	0.001	0	1.0	1	0.6006
M32.9	I73.0	systemic lupus erythematosus	raynaud 's syndrome	1	0.081	1	0.7538461538461538	1	0.5676666666666668
M32.9	H40	systemic lupus erythematosus	glaucoma	2	0.001	0	0.8333333333333334	1	0.5676666666666668
M32.9	N18.9	systemic lupus erythematosus	chronic renal disease	1	0.019	1	0.7878787878787878	1	0.5626
M32.9	G62.9	systemic lupus erythematosus	neuropathy	1	0.009	1	0.7894736842105263	1	0.5609640130861505
M32.9	I87.1	systemic lupus erythematosus	vena cava syndrome	1	0.007	1	0.75	1	0.5523374045801528
M32.9	J80	systemic lupus erythematosus	adult respiratory distress syndrome	1	0.006	1	0.75	1	0.5520111111111112
M32.9	N01	systemic lupus erythematosus	rapidly progressive glomerulonephritis	1	0.016	1	0.0	1	0.4157846153846154
M32.9	I06.1	systemic lupus erythematosus	aortic regurgitation	1	0.013	1	1.0	0	0.40680000000000005
M32.9	E46	systemic lupus erythematosus	malnutrition	1	0.003	0	1.0	1	0.401
M32.9	I31.4	systemic lupus erythematosus	cardiac tamponade	4	NA	0	0	1	0.4
M32.9	N18.6	systemic lupus erythematosus	end-stage renal disease	10	NA	0	0	1	0.4
M32.9	D68.61	systemic lupus erythematosus	antiphospholipid syndrome	10	NA	0	0	1	0.4
M32.9	I27.20	systemic lupus erythematosus	pulmonary hypertension	3	NA	0	0	1	0.4
M32.9	I51.4	systemic lupus erythematosus	myocarditis	1	0.0	0	1.0	1	0.4
M32.9	H53.2	systemic lupus erythematosus	diplopia	1	0.004	0	0.9	1	0.39980000000000004
M32.9	D58	systemic lupus erythematosus	hemolytic anemia	1	0.018	1	0.8333333333333334	0	0.3805777777777778
M32.9	K85	systemic lupus erythematosus	acute pancreatitis	1	0.003	0	0.8333333333333334	1	0.3766285714285714
M32.9	D59	systemic lupus erythematosus	hemolytic anemia	1	0.018	1	0.75	0	0.36060000000000003
M32.9	D57	systemic lupus erythematosus	hemolytic anemia	1	0.01	1	0.7	0	0.35000000000000003
M32.9	I67.9	systemic lupus erythematosus	cerebrovascular disorders	1	0.002	0	0.7	1	0.34685714285714286
M32.9	L65.9	systemic lupus erythematosus	alopecia	1	0.004	0	0.6666666666666666	1	0.3408
M32.9	K55.9	systemic lupus erythematosus	ischemic enterocolitis	1	0.002	0	0.5	1	0.3100420168067227
M32.9	D56	systemic lupus erythematosus	hemolytic anemia	1	0.005	0	1.0	0	0.26766666666666666
M32.9	D69.2	systemic lupus erythematosus	purpura	1	0.0	0	0	1	0.2006
M32.9	G25.5	systemic lupus erythematosus	chorea	1	0.0	0	0	1	0.2
M32.9	H05.20	systemic lupus erythematosus	proptosis	1	NA	0	0	1	0.2
M32.9	J05.10	systemic lupus erythematosus	acute epiglottitis	1	NA	0	0	1	0.2
M32.9	D72.819	systemic lupus erythematosus	leukopenia	2	NA	0	0	0	0.2
M32.9	G82.5	systemic lupus erythematosus	quadriplegia	1	0.0	0	0	1	0.2
M32.9	H16.3	systemic lupus erythematosus	deep keratitis	1	0.0	0	0	1	0.2
M32.9	E40	systemic lupus erythematosus	malnutrition	1	NA	0	0	1	0.2
M32.9	E41	systemic lupus erythematosus	malnutrition	1	0.0	0	0	1	0.2
M32.9	E42	systemic lupus erythematosus	malnutrition	1	NA	0	0	1	0.2
M32.9	E43	systemic lupus erythematosus	malnutrition	1	0.0	0	0	1	0.2
M32.9	E44	systemic lupus erythematosus	malnutrition	1	0.0	0	0	1	0.2
M32.9	E45	systemic lupus erythematosus	malnutrition	1	0.0	0	0	1	0.2
M32.9	D68.04	systemic lupus erythematosus	acquired von willebrand syndrome	1	NA	0	0	1	0.2
M32.9	M31.19	systemic lupus erythematosus	thrombotic thrombocytopenic purpura	1	NA	0	0	1	0.2
M32.9	G93.2	systemic lupus erythematosus	benign intracranial hypertension	1	0.005	0	0.0	0	0.13413333333333333
M32.9	H05.11	systemic lupus erythematosus	orbital myositis	1	NA	0	0	0	0.0
M32.9	M12.9	systemic lupus erythematosus	arthropathy	1	NA	0	0	0	0.0
M32.9	D76.1	systemic lupus erythematosus	hemophagocytic syndrome	1	0.0	0	0	0	0.0
M32.9	D55	systemic lupus erythematosus	hemolytic anemia	1	0.0	0	0	0	0.0
M32.9	D75.81	systemic lupus erythematosus	myelofibrosis	1	NA	0	0	0	0.0
H33.2	H54	retinal detachment	blindness	10	0.037	1	0.8421052631578947	1	0.775821052631579
H33.2	H31.4	retinal detachment	choroidal detachment	1	0.01	1	1.0	0	0.404
H33.2	H52.31	retinal detachment	anisometropia	3	NA	0	0	1	0.4
E78.5	I70	hyperlipemia	atheroma	8	0.044	1	0.7401960784313726	1	0.7568392156862747
E78.5	K76.0	hyperlipemia	nonalcoholic fatty liver disease	1	0.037	1	0.7111111111111111	1	0.551
E78.5	K85.9	hyperlipemia	pancreatitis	5	0.009	1	0.68	0	0.5394615384615384
E78.5	E87	hyperlipemia	metabolic disorders	1	0.053	1	0.8250327653997379	0	0.3878670713201821
E78.5	I51.9	hyperlipemia	heart disease	1	0.039	1	0.8226415094339623	0	0.38321818181818185
E78.5	E86	hyperlipemia	metabolic disorders	1	0.029	1	0.8164179104477612	0	0.3793777777777778
E78.5	E83	hyperlipemia	metabolic disorders	1	0.021	1	0.8179959100204499	0	0.37777777777777777
E78.5	G62.9	hyperlipemia	neuropathy	1	0.023	1	0.752	0	0.3618
E78.5	E85	hyperlipemia	amyloidosis	1	0.006	1	0.7666666666666667	0	0.36133846153846155
E78.5	E88	hyperlipemia	metabolic disorders	1	0.011	1	0.7558139534883721	0	0.36060000000000003
E78.5	D64.9	hyperlipemia	anemia	1	0.044	1	0.6596764529658478	0	0.34745454545454546
E78.5	E80	hyperlipemia	metabolic disorders	1	0.007	1	0.6829268292682927	0	0.3448634146341464
E78.5	E72	hyperlipemia	metabolic disorders	1	0.008	1	0.6	0	0.33311578947368425
E78.5	E75	hyperlipemia	metabolic disorders	1	0.007	1	0.5714285714285714	0	0.3240769230769231
E78.5	E74	hyperlipemia	metabolic disorders	1	0.01	1	0.5333333333333333	0	0.321
E78.5	E83.1	hyperlipemia	disorder of iron metabolism	1	0.006	1	0.5161290322580645	0	0.31918418079096045
E78.5	M81.0	hyperlipemia	osteoporosis	1	-0.002	0	0.5	1	0.3014
E78.5	E73	hyperlipemia	metabolic disorders	1	0.0	0	0.8461538461538461	0	0.2
E78.5	E79	hyperlipemia	metabolic disorders	1	0.004	0	0.8	0	0.2
E78.5	G57.5	hyperlipemia	tarsal tunnel syndrome	1	0.003	0	0.3333333333333333	0	0.16060000000000002
E78.5	E70	hyperlipemia	metabolic disorders	1	0.002	0	0.0	0	0.1256
E78.5	E16.4	hyperlipemia	hypergastrinemia	1	0.0	0	0	0	0.0
E78.5	D74	hyperlipemia	methemoglobinemia	1	0.0	0	0	0	0.0
E78.5	I67.82	hyperlipemia	cerebral ischemia	1	NA	0	0	0	0.0
E78.5	E71	hyperlipemia	metabolic disorders	1	0.0	0	0	0	0.0
E78.5	E76	hyperlipemia	metabolic disorders	1	0.0	0	0	0	0.0
E78.5	E81	hyperlipemia	metabolic disorders	1	NA	0	0	0	0.0
E78.5	E82	hyperlipemia	metabolic disorders	1	NA	0	0	0	0.0
E78.5	E77	hyperlipemia	metabolic disorders	1	-0.001	0	0	0	0.0
N20.0	N13.6	renal stones	pyonephrosis	2	0.057	1	0.8181818181818182	1	0.7750363636363637
N20.0	N08	renal stones	kidney disease	3	0.013	1	0.7777777777777778	1	0.7581555555555555
N20.0	N19	renal stones	renal failure	2	0.031	1	0.6624203821656051	1	0.7387333333333332
N20.0	N16	renal stones	pyelonephritis	2	0.006	1	0.6	1	0.7216
N20.0	N18.9	renal stones	chronic renal disease	1	0.037	1	0.7842639593908629	1	0.5647241379310346
N20.0	N13.30	renal stones	hydronephrosis	2	NA	0	0	1	0.4
N20.0	N11	renal stones	chronic pyelonephritis	1	0.029	1	0.7	0	0.3541387755102041
N20.0	K56.609	renal stones	intestinal obstruction	1	NA	0	0	0	0.0
